iter	Passed	Remaining
429	1716	4272
430	1719	4265
431	1723	4261
432	1727	4256
433	1730	4251
434	1734	4247
435	1738	4242
436	1742	4237
437	1746	4235
438	1751	4232
439	1755	4228
440	1759	4225
441	1762	4219
442	1766	4215
443	1770	4211
444	1774	4206
445	1777	4201
446	1781	4196
447	1785	4193
448	1790	4190
449	1795	4188
450	1799	4185
451	1803	4180
452	1807	4177
453	1811	4173
454	1815	4169
455	1819	4165
456	1823	4161
457	1826	4156
458	1830	4151
459	1835	4148
460	1840	4147
461	1846	4147
462	1849	4143
463	1853	4139
464	1857	4134
465	1860	4128
466	1865	4126
467	1868	4120
468	1872	4117
469	1877	4113
470	1880	4108
471	1883	4102
472	1888	4099
473	1890	4092
474	1895	4090
475	1899	4087
476	1902	4081
477	1906	4076
478	1910	4071
479	1914	4067
480	1917	4062
481	1921	4058
482	1925	4053
483	1928	4048
484	1932	4044
485	1936	4040
486	1939	4034
487	1943	4029
488	1946	4024
489	1949	4018
490	1952	4013
491	1956	4008
492	1960	4005
493	1964	4000
494	1968	3995
495	1972	3992
496	1976	3988
497	1980	3984
498	1983	3979
499	1986	3973
500	1990	3969
501	1996	3968
502	2000	3965
503	2006	3965
504	2011	3962
505	2017	3963
506	2023	3962
507	2027	3960
508	2034	3961
509	2040	3961
510	2047	3962
511	2051	3959
512	2057	3957
513	2060	3953
514	2065	3951
515	2071	3950
516	2076	3947
517	2081	3945
518	2087	3945
519	2092	3943
520	2096	3938
521	2102	3939
522	2106	3935
523	2111	3933
524	2116	3931
525	2123	3931
526	2126	3926
527	2130	3922
528	2135	3920
529	2140	3917
530	2146	3916
531	2151	3915
532	2156	3912
533	2160	3908
534	2167	3908
535	2173	3909
536	2179	3907
537	2184	3905
538	2189	3903
539	2193	3899
540	2198	3897
541	2206	3900
542	2213	3901
543	2222	3905
544	2229	3906
545	2235	3906
546	2241	3905
547	2248	3906
548	2253	3904
549	2260	3904
550	2266	3902
551	2271	3900
552	2275	3897
553	2281	3896
554	2284	3890
555	2291	3890
556	2295	3886
557	2299	3882
558	2303	3877
559	2306	3871
560	2310	3866
561	2314	3862
562	2319	3860
563	2324	3857
564	2330	3856
565	2334	3852
566	2338	3848
567	2342	3843
568	2348	3842
569	2352	3839
570	2358	3836
571	2362	3832
572	2367	3829
573	2371	3825
574	2376	3823
575	2381	3820
576	2386	3817
577	2391	3814
578	2395	3810
579	2401	3808
580	2405	3805
581	2410	3802
582	2416	3800
583	2420	3796
584	2424	3791
585	2427	3786
586	2431	3781
587	2435	3777
588	2439	3773
589	2443	3768
590	2446	3762
591	2450	3758
592	2454	3753
593	2457	3748
594	2461	3744
595	2465	3739
596	2469	3734
597	2471	3728
598	2474	3722
599	2478	3717
600	2482	3713
601	2485	3708
602	2489	3703
603	2493	3698
604	2497	3693
605	2500	3688
606	2504	3683
607	2507	3678
608	2511	3674
609	2515	3670
610	2519	3665
611	2523	3661
612	2526	3655
613	2529	3649
614	2533	3645
615	2537	3641
616	2541	3637
617	2545	3632
618	2549	3628
619	2552	3623
620	2556	3618
621	2560	3613
622	2564	3609
623	2567	3604
624	2570	3598
625	2573	3593
626	2576	3587
627	2580	3583
628	2584	3579
629	2588	3574
630	2592	3570
631	2595	3565
632	2598	3559
633	2603	3555
634	2607	3551
635	2611	3547
636	2615	3542
637	2619	3538
638	2623	3534
639	2626	3529
640	2630	3525
641	2634	3520
642	2637	3515
643	2642	3511
644	2645	3507
645	2649	3503
646	2653	3498
647	2658	3495
648	2661	3490
649	2665	3486
650	2669	3481
651	2674	3478
652	2680	3476
653	2684	3473
654	2688	3468
655	2693	3465
656	2699	3463
657	2706	3463
658	2710	3459
659	2714	3455
660	2718	3450
661	2722	3446
662	2725	3440
663	2729	3436
664	2732	3430
665	2735	3425
666	2739	3421
667	2742	3416
668	2746	3411
669	2751	3408
670	2755	3403
671	2758	3399
672	2762	3394
673	2765	3388
674	2768	3383
675	2772	3378
676	2775	3373
677	2778	3369
678	2783	3365
679	2786	3360
680	2790	3356
681	2794	3351
682	2798	3347
683	2801	3342
684	2805	3338
685	2809	3333
686	2812	3328
687	2816	3323
688	2821	3320
689	2825	3316
690	2828	3311
691	2832	3306
692	2835	3302
693	2838	3297
694	2842	3292
695	2845	3287
696	2849	3282
697	2853	3278
698	2856	3273
699	2860	3268
700	2863	3263
701	2867	3259
702	2871	3255
703	2875	3251
704	2878	3246
705	2881	3241
706	2884	3235
707	2888	3231
708	2893	3227
709	2897	3223
710	2901	3219
711	2904	3215
712	2908	3210
713	2911	3205
714	2915	3201
715	2919	3197
716	2923	3192
717	2927	3188
718	2931	3184
719	2935	3179
720	2939	3176
721	2944	3173
722	2948	3168
723	2952	3164
724	2955	3159
725	2958	3153
726	2962	3149
727	2965	3144
728	2968	3139
729	2971	3134
730	2975	3130
731	2979	3125
732	2982	3120
733	2985	3115
734	2989	3111
735	2993	3106
736	2996	3102
737	2999	3097
738	3003	3092
739	3006	3088
740	3010	3083
741	3013	3078
742	3016	3073
743	3021	3070
744	3025	3065
745	3028	3061
746	3033	3058
747	3037	3054
748	3041	3049
749	3044	3044
750	3048	3040
751	3051	3035
752	3055	3031
753	3059	3026
754	3062	3021
755	3066	3017
756	3069	3013
757	3074	3009
758	3077	3004
759	3081	3000
760	3085	2996
761	3089	2992
762	3093	2988
763	3097	2983
764	3101	2979
765	3106	2976
766	3109	2972
767	3113	2967
768	3117	2963
769	3121	2959
770	3125	2955
771	3129	2951
772	3133	2947
773	3137	2942
774	3140	2938
775	3144	2933
776	3147	2928
777	3152	2925
778	3157	2922
779	3162	2919
780	3166	2914
781	3170	2910
782	3173	2906
783	3177	2901
784	3181	2898
785	3185	2894
786	3190	2890
787	3194	2886
788	3198	2882
789	3202	2878
790	3205	2873
791	3208	2868
792	3212	2864
793	3217	2860
794	3220	2855
795	3224	2851
796	3228	2847
797	3232	2843
798	3236	2839
799	3239	2834
800	3243	2830
801	3247	2826
802	3250	2821
803	3254	2817
804	3258	2813
805	3261	2808
806	3264	2803
807	3267	2798
808	3271	2794
809	3275	2790
810	3279	2785
811	3282	2781
812	3286	2777
813	3290	2772
814	3293	2768
815	3297	2763
816	3300	2759
817	3304	2755
818	3308	2750
819	3312	2746
820	3316	2742
821	3319	2737
822	3322	2733
823	3325	2728
824	3328	2723
825	3334	2720
826	3337	2715
827	3342	2713
828	3347	2709
829	3351	2705
830	3355	2701
831	3360	2697
832	3364	2693
833	3369	2690
834	3373	2686
835	3377	2682
836	3381	2678
837	3385	2674
838	3390	2671
839	3395	2667
840	3400	2664
841	3403	2660
842	3408	2656
843	3412	2652
844	3418	2649
845	3423	2646
846	3428	2643
847	3432	2638
848	3436	2635
849	3441	2631
850	3445	2627
851	3450	2624
852	3455	2620
853	3458	2616
854	3463	2612
855	3466	2607
856	3470	2604
857	3475	2600
858	3478	2596
859	3482	2591
860	3487	2588
861	3491	2584
862	3496	2581
863	3500	2576
864	3506	2573
865	3512	2571
866	3517	2568
867	3522	2564
868	3526	2560
869	3529	2556
870	3533	2551
871	3537	2547
872	3542	2544
873	3547	2540
874	3552	2537
875	3556	2533
876	3559	2528
877	3564	2525
878	3569	2521
879	3574	2518
880	3580	2515
881	3585	2512
882	3589	2508
883	3596	2506
884	3602	2503
885	3608	2500
886	3614	2497
887	3618	2493
888	3624	2491
889	3629	2487
890	3634	2484
891	3638	2479
892	3643	2476
893	3649	2473
894	3655	2471
895	3662	2468
896	3666	2465
897	3671	2461
898	3678	2459
899	3682	2455
900	3689	2452
901	3695	2449
902	3700	2446
903	3705	2443
904	3711	2439
905	3715	2436
906	3723	2434
907	3727	2430
908	3731	2426
909	3735	2421
910	3738	2417
911	3742	2412
912	3745	2408
913	3750	2404
914	3755	2400
915	3760	2397
916	3764	2393
917	3769	2389
918	3774	2386
919	3779	2382
920	3783	2378
921	3787	2374
922	3792	2370
923	3796	2366
924	3800	2362
925	3806	2359
926	3811	2356
927	3818	2353
928	3823	2349
929	3828	2346
930	3834	2343
931	3839	2339
932	3843	2335
933	3847	2331
934	3851	2327
935	3854	2322
936	3858	2318
937	3861	2313
938	3864	2308
939	3868	2304
940	3872	2300
941	3875	2295
942	3878	2291
943	3881	2286
944	3885	2281
945	3889	2277
946	3893	2273
947	3898	2269
948	3902	2265
949	3907	2261
950	3910	2257
951	3914	2253
952	3918	2249
953	3921	2244
954	3924	2239
955	3929	2235
956	3933	2231
957	3936	2227
958	3939	2222
959	3944	2218
960	3947	2213
961	3951	2209
962	3954	2205
963	3959	2201
964	3963	2197
965	3967	2193
966	3971	2189
967	3975	2185
968	3980	2181
969	3984	2177
970	3988	2172
971	3991	2168
972	3995	2164
973	4000	2160
974	4004	2156
975	4009	2152
976	4013	2148
977	4017	2144
978	4021	2140
979	4024	2135
980	4029	2131
981	4033	2127
982	4037	2123
983	4042	2119
984	4046	2115
985	4048	2110
986	4052	2106
987	4057	2102
988	4061	2098
989	4065	2094
990	4068	2089
991	4071	2084
992	4074	2080
993	4078	2076
994	4081	2071
995	4086	2067
996	4089	2063
997	4092	2058
998	4096	2054
999	4100	2050
1000	4103	2045
1001	4107	2041
1002	4110	2036
1003	4114	2032
1004	4116	2027
1005	4121	2023
1006	4125	2019
1007	4128	2015
1008	4132	2010
1009	4136	2006
1010	4140	2002
1011	4144	1998
1012	4147	1994
1013	4152	1990
1014	4156	1986
1015	4159	1981
1016	4162	1976
1017	4166	1972
1018	4169	1968
1019	4172	1963
1020	4176	1959
1021	4180	1955
1022	4184	1950
1023	4188	1947
1024	4192	1942
1025	4196	1938
1026	4199	1934
1027	4204	1930
1028	4207	1925
1029	4210	1921
1030	4216	1917
1031	4218	1913
1032	4221	1908
1033	4226	1904
1034	4230	1900
1035	4234	1896
1036	4237	1892
1037	4242	1888
1038	4245	1883
1039	4249	1879
1040	4252	1874
1041	4256	1870
1042	4259	1866
1043	4264	1862
1044	4267	1858
1045	4271	1853
1046	4275	1849
1047	4279	1845
1048	4283	1841
1049	4287	1837
